Timestamp,CPU_Usage (%),Memory_Usage (%),Disk_Usage (%)
2025-01-03 13:42:28,22.2,41.3,7.1
2025-01-03 13:42:28,20.0,41.3,7.1
2025-01-03 13:42:28,14.9,41.3,7.1
2025-01-03 13:42:28,22.2,41.2,7.1
2025-01-03 13:42:28,21.1,41.3,7.1
2025-01-03 13:42:28,22.6,41.3,7.1
2025-01-03 13:42:28,22.8,41.3,7.1
2025-01-03 13:42:29,12.5,41.3,7.1
2025-01-03 13:42:29,18.2,41.3,7.1
2025-01-03 13:42:29,21.2,41.3,7.1
2025-01-03 13:42:29,20.5,41.3,7.1
2025-01-03 13:42:29,18.6,41.3,7.1
2025-01-03 13:42:29,13.6,41.3,7.1
2025-01-03 13:42:29,18.0,41.3,7.1
2025-01-03 13:42:29,19.1,41.3,7.1
2025-01-03 13:42:30,15.7,41.3,7.1
2025-01-03 13:42:30,16.7,41.3,7.1
2025-01-03 13:42:30,20.2,41.2,7.1
2025-01-03 13:42:30,17.2,41.3,7.1
2025-01-03 13:42:30,14.0,41.2,7.1
2025-01-03 13:42:30,15.4,41.2,7.1
2025-01-03 13:42:30,23.2,41.3,7.1
2025-01-03 13:42:30,18.3,41.2,7.1
2025-01-03 13:42:30,17.8,41.2,7.1
2025-01-03 13:42:31,14.9,41.2,7.1
2025-01-03 13:42:31,19.3,41.3,7.1
2025-01-03 13:42:31,27.4,41.3,7.1
2025-01-03 13:42:31,17.9,41.3,7.1
2025-01-03 13:42:31,19.4,41.3,7.1
2025-01-03 13:42:31,22.5,41.3,7.1
2025-01-03 13:42:31,19.4,41.3,7.1
2025-01-03 13:42:32,18.3,41.3,7.1
2025-01-03 13:42:32,22.0,41.3,7.1
2025-01-03 13:42:32,21.8,41.3,7.1
2025-01-03 13:42:32,15.4,41.3,7.1
2025-01-03 13:42:32,21.7,41.3,7.1
2025-01-03 13:42:32,21.1,41.3,7.1
2025-01-03 13:42:32,22.2,41.3,7.1
2025-01-03 13:42:33,16.3,41.3,7.1
2025-01-03 13:42:33,16.0,41.3,7.1
2025-01-03 13:42:33,17.6,41.3,7.1
2025-01-03 13:42:33,25.5,41.3,7.1
2025-01-03 13:42:33,18.0,41.3,7.1
2025-01-03 13:42:33,19.3,41.3,7.1
2025-01-03 13:42:33,23.1,41.3,7.1
2025-01-03 13:42:33,18.6,41.3,7.1
2025-01-03 13:42:33,22.6,41.3,7.1
2025-01-03 13:42:34,17.6,41.3,7.1
2025-01-03 13:42:34,22.1,41.3,7.1
2025-01-03 13:42:34,17.0,41.3,7.1
2025-01-03 13:42:34,22.8,41.3,7.1
2025-01-03 13:42:34,17.4,41.3,7.1
2025-01-03 13:42:34,15.0,41.3,7.1
